JPEGImages\dehw_train_00046_3_2.jpg Annotations\dehw_train_00046_3_2.png
JPEGImages\dehw_train_00759_0_1.jpg Annotations\dehw_train_00759_0_1.png
JPEGImages\dehw_train_00500_1_0.jpg Annotations\dehw_train_00500_1_0.png
JPEGImages\dehw_train_00354_0_0.jpg Annotations\dehw_train_00354_0_0.png
JPEGImages\dehw_train_00918_2_2.jpg Annotations\dehw_train_00918_2_2.png
JPEGImages\dehw_train_00085_0_0.jpg Annotations\dehw_train_00085_0_0.png
JPEGImages\dehw_train_00640_0_0.jpg Annotations\dehw_train_00640_0_0.png
JPEGImages\dehw_train_00315_0_0.jpg Annotations\dehw_train_00315_0_0.png
JPEGImages\dehw_train_00817_4_0.jpg Annotations\dehw_train_00817_4_0.png
JPEGImages\dehw_train_01080_0_0.jpg Annotations\dehw_train_01080_0_0.png
JPEGImages\dehw_train_00555_1_1.jpg Annotations\dehw_train_00555_1_1.png
JPEGImages\dehw_train_00320_3_2.jpg Annotations\dehw_train_00320_3_2.png
JPEGImages\dehw_train_00185_0_0.jpg Annotations\dehw_train_00185_0_0.png
JPEGImages\dehw_train_00168_1_1.jpg Annotations\dehw_train_00168_1_1.png
JPEGImages\dehw_train_00667_1_1.jpg Annotations\dehw_train_00667_1_1.png
JPEGImages\dehw_train_00188_0_0.jpg Annotations\dehw_train_00188_0_0.png
JPEGImages\dehw_train_00484_3_1.jpg Annotations\dehw_train_00484_3_1.png
JPEGImages\dehw_train_00637_1_0.jpg Annotations\dehw_train_00637_1_0.png
JPEGImages\dehw_train_00230_0_1.jpg Annotations\dehw_train_00230_0_1.png
JPEGImages\dehw_train_01055_1_0.jpg Annotations\dehw_train_01055_1_0.png
JPEGImages\dehw_train_00608_0_2.jpg Annotations\dehw_train_00608_0_2.png
JPEGImages\dehw_train_00207_0_1.jpg Annotations\dehw_train_00207_0_1.png
JPEGImages\dehw_train_00555_2_0.jpg Annotations\dehw_train_00555_2_0.png
JPEGImages\dehw_train_00306_2_2.jpg Annotations\dehw_train_00306_2_2.png
